CategoryCode;CategoryName;CPU;ManufacturerCode;ManufacturerName;Model;OS;Price;RAM;Screen;Storage
4;Notebook;Intel Core i3 6006U 2.0GHz;1;Acer;Aspire E5-774G;Windows 10;26334,0285;8;17.3 col - 1600x900;1TB HDD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;3;Asus;Rog Strix;Windows 10;102531,0585;16;15.6 col - Full HD 1920x1080;256GB SSD +  1TB HDD
5;Ultrabook;Intel Core M 1.2GHz;2;Apple;MacBook 12;Mac OS X;53547,2535;8;12.0 col - IPS Panel Retina Display 2304x1440;512GB Flash Storage
4;Notebook;Intel Core i7 7700HQ 2.8GHz;3;Asus;FX502VM-AS73 (i7-7700HQ/16GB/1TB;Windows 10;73224,5085;16;15.6 col - Full HD 1920x1080;128GB SSD +  1TB HDD
2;Gaming;Intel Core i7 6700HQ 2.6GHz;8;MSI;GS73VR Stealth;Windows 10;81597,38984;16;17.3 col - IPS Panel Full HD 1920x1080;256GB SSD +  1TB HDD
1;2 in 1 Convertible;Intel Core i5 7200U 2.5GHz;4;Dell;Inspiron 7579;Windows 10;41824,6335;8;15.6 col - IPS Panel Full HD / Touchscreen 1920x1080;256GB SSD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;3;Asus;ROG Strix;Windows 10;81597,8085;16;17.3 col - Full HD 1920x1080;256GB SSD +  1TB HDD
3;Netbook;Intel Celeron Dual Core 3205U 1.5GHz;1;Acer;C740-C9QX (3205U/2GB/32GB/Chrome;Chrome OS ;7284,771;2;11.6 col - 1366x768;32GB SSD
4;Notebook;Intel Core i3 6006U 2GHz;1;Acer;E5 774G;Windows 10;25036,167;4;17.3 col - 1600x900;1TB HDD
4;Notebook;Intel Core i5 7200U 2.5GHz;7;Lenovo;IdeaPad 320-17IKB;No OS ;22566,0435;8;17.3 col - 1600x900;1TB HDD
2;Gaming;Intel Core i7 6700HQ 2.6GHz;7;Lenovo;IdeaPad Y700-15ISK;Windows 10;53254,188;8;15.6 col - IPS Panel Full HD 1920x1080;128GB SSD +  1TB HDD
1;2 in 1 Convertible;Intel Core i7 7Y75 1.3GHz;1;Acer;SP714-51 (i7-7Y75/8GB/256GB/FHD/W10);Windows 10;48104,6085;8;14.0 col - IPS Panel Full HD / Touchscreen 1920x1080;256GB SSD
4;Notebook;Intel Core i7 6600U 2.6GHz;7;Lenovo;Thinkpad T560;Windows 10;64013,8785;8;15.6 col - IPS Panel Full HD 1920x1080;256GB SSD
2;Gaming;Intel Core i7 6700HQ 2.6GHz;8;MSI;GP62MVR 6RF;Windows 10;61799,55932;8;15.6 col - Full HD 1920x1080;128GB SSD +  1TB HDD
4;Notebook;AMD A12-Series 9720P 2.7GHz;6;HP;15-bw009nv (A12-9720P/6GB/1TB/Radeon;Windows 10;22147,3785;6;15.6 col - Full HD 1920x1080;1TB HDD
5;Ultrabook;Intel Core i5 6300U 2.4GHz;4;Dell;Latitude E7270;Windows 7;71732,80511;8;12.5 col - Full HD / Touchscreen 1920x1080;256GB SSD
1;2 in 1 Convertible;Intel Core i3 7100U 2.4GHz;4;Dell;Inspiron 5578;Windows 10;21310,0485;4;15.0 col - Full HD / Touchscreen 1920x1080;500GB HDD
4;Notebook;Intel Pentium Quad Core N3710 1.6GHz;3;Asus;X540SA-RBPDN09 (N3710/4GB/1TB/W10);Windows 10;12936,7485;4;15.6 col - 1366x768;1TB HDD
5;Ultrabook;Intel Core i7 7500U 2.7GHz;4;Dell;XPS 13;Windows 10;61836,8205;8;13.3 col - Quad HD+ / Touchscreen 3200x1800;256GB SSD
4;Notebook;Intel Core i5 7200U 2.5GHz;4;Dell;Vostro 3568;Linux ;21848,45169;4;15.6 col - 1366x768;1TB HDD
2;Gaming;Intel Core i7 6700HQ 2.6GHz;7;Lenovo;IdeaPad Y700-15ISK;Windows 10;43080,6285;16;15.6 col - IPS Panel Full HD / Touchscreen 1920x1080;128GB SSD +  1TB HDD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;8;MSI;GL62M 7RDX;Windows 10;48104,6085;8;15.6 col - Full HD 1920x1080;128GB SSD +  1TB HDD
3;Netbook;Intel Core i7 6500U 2.50GHz;7;Lenovo;ThinkPad Yoga;Windows 10;69079,725;16;12.5 col - IPS Panel Full HD / Touchscreen 1920x1080;512GB SSD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;9;Razer;Blade Pro;Windows 10;146490,8835;16;14.0 col - Full HD 1920x1080;1TB SSD
4;Notebook;Intel Core i3 7100U 2.4GHz;4;Dell;Inspiron 3567;Windows 10;19635,80717;8;15.6 col - Touchscreen 1366x768;1TB HDD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;8;MSI;GE72VR Apache;Windows 10;66902,667;16;17.3 col - Full HD 1920x1080;256GB SSD +  1TB HDD
5;Ultrabook;Intel Core i5 1.6GHz;2;Apple;MacBook Air;Mac OS X;40149,9735;4;11.6 col - 1366x768;256GB Flash Storage
4;Notebook;Intel Core i3 6006U 2GHz;6;HP;15-bs023nv (i3-6006U/4GB/1TB/FHD/W10);Windows 10;20012,187;4;15.6 col - Full HD 1920x1080;1TB HDD
5;Ultrabook;Intel Core i7 6500U 2.5GHz;6;HP;EliteBook 840;Windows 7;92030,52164;8;14.0 col - 2560x1440;256GB SSD
4;Notebook;Intel Core i5 6200U 2.3GHz;4;Dell;Vostro 3559;Windows 7;30855,6105;4;15.6 col - 1366x768;500GB HDD
2;Gaming;Intel Core i7 6700HQ 2.6GHz;8;MSI;GL62 6QF;Windows 10;48941,9385;8;15.6 col - Full HD 1920x1080;128GB SSD +  1TB HDD
4;Notebook;Intel Core i7 7500U 2.7GHz;7;Lenovo;ThinkPad 13;Windows 10;62757,8835;16;13.3 col - IPS Panel Full HD 1920x1080;512GB SSD
4;Notebook;AMD A12-Series 9720P 3.6GHz;7;Lenovo;IdeaPad 320-15ABR;Windows 10;25018,16441;6;15.6 col - Full HD 1920x1080;256GB SSD
5;Ultrabook;Intel Core i7 6500U 2.5GHz;3;Asus;ZenBook UX310UA-WB71;Windows 10;53589,12;8;13.3 col - Full HD 1920x1080;256GB SSD
4;Notebook;Intel Core i3 6006U 2.0GHz;1;Acer;Aspire ES1-572;Linux ;15147,2997;4;15.6 col - 1366x768;500GB HDD
1;2 in 1 Convertible;Intel Core i7 7500U 2.7GHz;4;Dell;Inspiron 7779;Windows 10;75317,8335;16;17.3 col - Full HD / Touchscreen 1920x1080;512GB SSD
4;Notebook;Intel Core i5 6200U 2.3GHz;6;HP;EliteBook 840;Windows 7;46052,73134;4;14.0 col - Full HD 1920x1080;256GB SSD
2;Gaming;Intel Core i7 7700HQ 2.8GHz;3;Asus;Rog GL553VE-FY052T;Windows 10;66986,4;16;15.6 col - IPS Panel Full HD 1920x1080;256GB SSD +  1TB HDD
4;Notebook;Intel Core i5 7200U 2.5GHz;4;Dell;Latitude 5480;Windows 10;36633,1875;4;14.0 col - 1366x768;500GB HDD
2;Gaming;Intel Core i7 6700HQ 2.6GHz;3;Asus;Rog GL502VS;Windows 10;97339,6125;16;15.6 col - IPS Panel Full HD 1920x1080;256GB SSD +  1TB HDD
4;Notebook;Intel Core i5 7200U 2.5GHz;7;Lenovo;V510-15IKB (i5-7200U/8GB/256GB/FHD/No;No OS ;23989,5045;8;15.6 col - IPS Panel Full HD 1920x1080;256GB SSD
1;2 in 1 Convertible;Intel Core i5 7Y54 1.2GHz;4;Dell;XPS 13;Windows 10;75903,9645;8;13.3 col - Quad HD+ / Touchscreen 3200x1800;256GB SSD
